Date,Day,WLEMUINDXD
05/09/2019,Thu,27.98
06/09/2019,Fri,68.53
07/09/2019,Sat,39.57
08/09/2019,Sun,52.01
09/09/2019,Mon,14.4
10/09/2019,Tue,22.62
11/09/2019,Wed,81.34
12/09/2019,Thu,65.85
13/09/2019,Fri,80.21
14/09/2019,Sat,38.65
15/09/2019,Sun,143.74
16/09/2019,Mon,88.26
17/09/2019,Tue,10.39
18/09/2019,Wed,36.33
19/09/2019,Thu,121.3
20/09/2019,Fri,69.51
21/09/2019,Sat,39.18
22/09/2019,Sun,91.19
23/09/2019,Mon,14.13
24/09/2019,Tue,67.27
25/09/2019,Wed,99.58
26/09/2019,Thu,64.93
27/09/2019,Fri,37.98
28/09/2019,Sat,51.37
29/09/2019,Sun,89.19
30/09/2019,Mon,28.25
01/10/2019,Tue,74.75
02/10/2019,Wed,36.1
03/10/2019,Thu,96.11
04/10/2019,Fri,198.3
05/10/2019,Sat,118.4
06/10/2019,Sun,168.72
07/10/2019,Mon,144.46
08/10/2019,Tue,97.67
09/10/2019,Wed,51.88
10/10/2019,Thu,138.91
11/10/2019,Fri,19.2
12/10/2019,Sat,102.77
13/10/2019,Sun,105.84
14/10/2019,Mon,47.49
15/10/2019,Tue,22.33
16/10/2019,Wed,35.41
17/10/2019,Thu,54.89
18/10/2019,Fri,9.89
19/10/2019,Sat,26.39
20/10/2019,Sun,40.19
21/10/2019,Mon,13.78
22/10/2019,Tue,22.18
23/10/2019,Wed,61.28
24/10/2019,Thu,121.66
25/10/2019,Fri,59.4
26/10/2019,Sat,25.87
27/10/2019,Sun,38.54
28/10/2019,Mon,15.2
29/10/2019,Tue,45.44
30/10/2019,Wed,61.88
31/10/2019,Thu,119.71
01/11/2019,Fri,30.75
02/11/2019,Sat,65.63
03/11/2019,Sun,104.25
04/11/2019,Mon,70.94
05/11/2019,Tue,53.08
06/11/2019,Wed,36.58
07/11/2019,Thu,93.74
08/11/2019,Fri,91.24
09/11/2019,Sat,65.74
10/11/2019,Sun,130.15
