Date,Day,USEPUINDXD
29/09/2019,Sun,165.02
30/09/2019,Mon,113
01/10/2019,Tue,65.08
02/10/2019,Wed,92.82
03/10/2019,Thu,46.59
04/10/2019,Fri,105.75
05/10/2019,Sat,200.44
06/10/2019,Sun,192.8
07/10/2019,Mon,137.56
08/10/2019,Tue,165.35
09/10/2019,Wed,62.58
10/10/2019,Thu,119.93
11/10/2019,Fri,95.08
12/10/2019,Sat,88.08
13/10/2019,Sun,80.63
14/10/2019,Mon,108.55
15/10/2019,Tue,68.05
16/10/2019,Wed,114.65
17/10/2019,Thu,156.8
18/10/2019,Fri,64.05
19/10/2019,Sat,60.31
20/10/2019,Sun,56.13
21/10/2019,Mon,57.74
22/10/2019,Tue,42.25
23/10/2019,Wed,80.02
24/10/2019,Thu,56.27
25/10/2019,Fri,67.88
26/10/2019,Sat,78.83
27/10/2019,Sun,166.39
28/10/2019,Mon,28.94
29/10/2019,Tue,134.13
30/10/2019,Wed,111.12
31/10/2019,Thu,133.29
01/11/2019,Fri,35.14
02/11/2019,Sat,135
03/11/2019,Sun,143.99
04/11/2019,Mon,75.66
05/11/2019,Tue,129.4
06/11/2019,Wed,48.77
07/11/2019,Thu,67.84
08/11/2019,Fri,127.43
09/11/2019,Sat,125.21
10/11/2019,Sun,118.98
11/11/2019,Mon,101.72
12/11/2019,Tue,89.57
13/11/2019,Wed,106.88
14/11/2019,Thu,53.75
15/11/2019,Fri,56.77
16/11/2019,Sat,91.22
17/11/2019,Sun,125.9
18/11/2019,Mon,19.85
19/11/2019,Tue,33.14
20/11/2019,Wed,46.27
21/11/2019,Thu,65.17
22/11/2019,Fri,83.86
23/11/2019,Sat,63.35
24/11/2019,Sun,110.11
25/11/2019,Mon,41.17
26/11/2019,Tue,37.49
27/11/2019,Wed,37.18
28/11/2019,Thu,97.06
29/11/2019,Fri,122.19
30/11/2019,Sat,41.19
01/12/2019,Sun,99.73
02/12/2019,Mon,86.08
03/12/2019,Tue,69.28
04/12/2019,Wed,64.18
05/12/2019,Thu,36.86
06/12/2019,Fri,134.85
07/12/2019,Sat,174.94
08/12/2019,Sun,219.84
09/12/2019,Mon,130.15
10/12/2019,Tue,189.13
11/12/2019,Wed,111.83
12/12/2019,Thu,99.79
13/12/2019,Fri,164.4
14/12/2019,Sat,139.75
15/12/2019,Sun,110.44
16/12/2019,Mon,79.66
17/12/2019,Tue,140.79
18/12/2019,Wed,89.87
19/12/2019,Thu,70.52
20/12/2019,Fri,141.48
21/12/2019,Sat,155.23
22/12/2019,Sun,190.14
23/12/2019,Mon,110.91
24/12/2019,Tue,97.08
25/12/2019,Wed,43.46
26/12/2019,Thu,106.92
27/12/2019,Fri,127.92
28/12/2019,Sat,123.1
29/12/2019,Sun,245.14
30/12/2019,Mon,101.31
31/12/2019,Tue,105.75
01/01/2020,Wed,186.06
02/01/2020,Thu,139.13
03/01/2020,Fri,108.1
04/01/2020,Sat,212.82
05/01/2020,Sun,173.76
06/01/2020,Mon,147.96
07/01/2020,Tue,103.98
08/01/2020,Wed,91.15
09/01/2020,Thu,71.92
10/01/2020,Fri,74.58
11/01/2020,Sat,127.36
12/01/2020,Sun,159.24
13/01/2020,Mon,124.82
14/01/2020,Tue,109.27
15/01/2020,Wed,98.77
16/01/2020,Thu,88.05
17/01/2020,Fri,77.76
18/01/2020,Sat,89.29
19/01/2020,Sun,162.21
20/01/2020,Mon,96.05
21/01/2020,Tue,87.56
22/01/2020,Wed,77.19
23/01/2020,Thu,70.67
24/01/2020,Fri,48.48
25/01/2020,Sat,78.77
26/01/2020,Sun,137.56
27/01/2020,Mon,22.25
28/01/2020,Tue,94.68
29/01/2020,Wed,88.62
30/01/2020,Thu,142.05
31/01/2020,Fri,122.2
01/02/2020,Sat,147.37
02/02/2020,Sun,104.49
03/02/2020,Mon,124.15
04/02/2020,Tue,111.96
05/02/2020,Wed,84.94
06/02/2020,Thu,81.75
07/02/2020,Fri,130.27
08/02/2020,Sat,87.8
09/02/2020,Sun,113.95
10/02/2020,Mon,111.39
11/02/2020,Tue,152.71
12/02/2020,Wed,79.26
13/02/2020,Thu,82.23
14/02/2020,Fri,71.98
15/02/2020,Sat,82.1
16/02/2020,Sun,131.52
17/02/2020,Mon,82.54
18/02/2020,Tue,77.38
19/02/2020,Wed,56.47
20/02/2020,Thu,103.7
21/02/2020,Fri,106.59
22/02/2020,Sat,177.27
23/02/2020,Sun,144.34
24/02/2020,Mon,88.73
25/02/2020,Tue,147.84
26/02/2020,Wed,97.49
27/02/2020,Thu,106.55
28/02/2020,Fri,172.45
29/02/2020,Sat,225.32
01/03/2020,Sun,175.73
02/03/2020,Mon,153.53
03/03/2020,Tue,132.55
04/03/2020,Wed,197.2
05/03/2020,Thu,118.02
06/03/2020,Fri,132.5
07/03/2020,Sat,122.57
08/03/2020,Sun,250.63
09/03/2020,Mon,276.24
10/03/2020,Tue,296.12
11/03/2020,Wed,234.73
12/03/2020,Thu,187.08
13/03/2020,Fri,330.85
14/03/2020,Sat,236.03
15/03/2020,Sun,468.43
16/03/2020,Mon,323.71
17/03/2020,Tue,378.92
18/03/2020,Wed,455.45
19/03/2020,Thu,514.67
20/03/2020,Fri,633.51
21/03/2020,Sat,538.95
22/03/2020,Sun,651.07
23/03/2020,Mon,572.94
24/03/2020,Tue,596.78
25/03/2020,Wed,449.86
26/03/2020,Thu,670.3
27/03/2020,Fri,557.18
28/03/2020,Sat,515.39
29/03/2020,Sun,743.13
30/03/2020,Mon,361.46
31/03/2020,Tue,516.55
01/04/2020,Wed,474.81
02/04/2020,Thu,738.02
03/04/2020,Fri,540.5
04/04/2020,Sat,636.21
05/04/2020,Sun,739.55
06/04/2020,Mon,605.38
07/04/2020,Tue,468.08
08/04/2020,Wed,524.13
09/04/2020,Thu,417.54
10/04/2020,Fri,461.87
11/04/2020,Sat,547.4
12/04/2020,Sun,558.22
13/04/2020,Mon,638.81
14/04/2020,Tue,441.32
15/04/2020,Wed,455.68
16/04/2020,Thu,505.52
17/04/2020,Fri,573.7
18/04/2020,Sat,529.03
19/04/2020,Sun,594.11
20/04/2020,Mon,618.66
21/04/2020,Tue,599.13
22/04/2020,Wed,511.42
23/04/2020,Thu,505.54
24/04/2020,Fri,562.5
25/04/2020,Sat,555.71
26/04/2020,Sun,855.17
27/04/2020,Mon,642.66
28/04/2020,Tue,479.89
29/04/2020,Wed,439.11
30/04/2020,Thu,440.07
01/05/2020,Fri,516.72
02/05/2020,Sat,387.24
03/05/2020,Sun,541.24
04/05/2020,Mon,449.38
05/05/2020,Tue,807.66
06/05/2020,Wed,498.71
07/05/2020,Thu,504.24
08/05/2020,Fri,488.53
09/05/2020,Sat,621.96
10/05/2020,Sun,536.09
11/05/2020,Mon,527.36
12/05/2020,Tue,442.15
13/05/2020,Wed,553.21
14/05/2020,Thu,508.02
15/05/2020,Fri,374.22
16/05/2020,Sat,385.27
17/05/2020,Sun,861.1
18/05/2020,Mon,511.62
19/05/2020,Tue,363.66
20/05/2020,Wed,420.68
21/05/2020,Thu,361.11
22/05/2020,Fri,418.96
23/05/2020,Sat,441.45
24/05/2020,Sun,458.16
25/05/2020,Mon,462.96
26/05/2020,Tue,389.21
27/05/2020,Wed,355.1
28/05/2020,Thu,421.99
29/05/2020,Fri,426.28
30/05/2020,Sat,418.18
31/05/2020,Sun,557.19
01/06/2020,Mon,226.8
02/06/2020,Tue,257.49
03/06/2020,Wed,287.17
04/06/2020,Thu,231.24
05/06/2020,Fri,235.07
06/06/2020,Sat,277.42
07/06/2020,Sun,391.21
08/06/2020,Mon,318.64
09/06/2020,Tue,191.32
10/06/2020,Wed,237.88
11/06/2020,Thu,317.86
12/06/2020,Fri,293.12
13/06/2020,Sat,373.28
14/06/2020,Sun,397.45
15/06/2020,Mon,300.34
16/06/2020,Tue,319.69
